ID,TaxID,Rank,Organism,Hosts,Transmissions,Diseases
101,95342,Species,Sapporo virus,Human,Fecal-oral,Gastroenteritis
102,11033,Species,Semliki Forest virus,"Human, Mosquitoes, Birds, Hedgehog","Zoonosis, Arthropod bite","Fever, Joint pain"
103,1980490,Species,Seoul orthohantavirus,"Human, Rats","Zoonosis, Urine, Saliva",Hemorrhagic fever
104,2560580,No Rank,Mammalian orthorubulavirus 5,"Human, Dog","Zoonosis, Contact",Undocumented
105,11034,Species,Sindbis virus,"Human, Mosquitoes, Birds","Zoonosis, Arthropod bite","Fever, Joint pain"
106,11983,Species,Norwalk virus,Human,Fecal-oral,Gastroenteritis
107,11080,No Rank,Saint Louis encephalitis virus,"Human, Mosquitoes, Birds","Zoonosis, Arthropod bite",Encephalitis
108,11083,No Rank,Powassan virus,"Human, Ticks","Zoonosis, Arthropod bite",Encephalitis
109,687340,No Rank,Torque teno virus 1,Human,"Blood, Sexual/Sexual",
110,2747931,Species,Naples phlebovirus,"Human, Mosquitoes","Zoonosis, Arthropod bite",Hemorrhagic fever
111,2749936,Species,Uukuniemi uukuvirus,"Human, Ticks","Zoonosis, Arthropod bite",Hemorrhagic fever
112,10245,Species,Vaccinia virus,"Human, Mammals",Contact,
113,10335,No Rank,Human alphaherpesvirus 3,Human,"Respiratory, Contact",Varicella
114,10255,Species,Variola virus,Human,Respiratory,Variola
115,11036,Species,Venezuelan equine encephalitis virus,"Human, Mosquitoes, Rodents","Zoonosis, Arthropod bite","Fever, Joint pain"
116,1972577,Species,Vesiculovirus indiana,"Human, Cattle, Pig, Horse, Flies","Zoonosis, Athropod bite",Encephalitis
117,11082,No Rank,West Nile virus,"Human, Mosquitoes, Ticks, Birds","Zoonosis, Arthropod bite",Hemorrhagic fever
118,11039,Species,Western equine encephalitis virus,"Human, Vertebrates, Mosquitoes","Zoonosis, Arthropod bite","Fever, Joint pain"
119,1891765,Species,Betapolyomavirus quartihominis,Human,"Respiratory fluids, Urine",
120,38804,Species,Yaba monkey tumor virus,"Human, Monkeys","Zoonosis, Contact",
